14,"astronomy,0.99965835","galaxy,0.9981596","moon,0.9968263","space,0.9960941","constellation,0.9939341","astrology,0.9934962","nebula,0.99271655","infinity,0.9882281","science,0.9832593","exploration,0.98273075","fantasy,0.9825717","planet,0.9803728","mystery,0.9734639","cosmos,0.9702347","stellar,0.9700954","solar system,0.9685905","dust,0.96687806","outer,0.9614809","telescope,0.9597087","plasma,0.9561045",
15,"astronomy,0.99930966","galaxy,0.997164","moon,0.9948988","space,0.99403954","nebula,0.9911387","constellation,0.9893551","astrology,0.98716325","infinity,0.9814275","fantasy,0.9799452","exploration,0.97807413","planet,0.9754259","science,0.9721035","cosmos,0.9690495","stellar,0.9645057","mystery,0.9637375","dust,0.9570779","insubstantial,0.95371246","outer,0.95352757","Heaven,0.94972974","solar system,0.94939893",
16,"astronomy,0.9991697","galaxy,0.9954653","moon,0.9924391","space,0.99137294","constellation,0.98873913","nebula,0.987782","astrology,0.98570716","infinity,0.9829041","fantasy,0.97779614","exploration,0.9757649","stellar,0.96788716","solar system,0.9671197","planet,0.9628839","mystery,0.9608805","science,0.9608652","dust,0.960305","no person,0.95301056","Heaven,0.95147395","cosmos,0.94978845","sun,0.94818217",
17,"astronomy,0.9989941","galaxy,0.99537945","moon,0.993214","space,0.9926144","constellation,0.988176","nebula,0.9877783","astrology,0.98647404","infinity,0.98285675","exploration,0.978269","fantasy,0.9757072","planet,0.96762425","solar system,0.96600837","stellar,0.96488976","no person,0.9647904","mystery,0.96440935","dust,0.9618024","deep,0.9610219","science,0.95387435","Heaven,0.9534892","sun,0.95159703",
18,"astronomy,0.998958","galaxy,0.99601626","moon,0.994498","space,0.99244356","constellation,0.9900793","astrology,0.9894265","nebula,0.9872919","infinity,0.98234296","fantasy,0.97747195","planet,0.9759915","exploration,0.9715391","mystery,0.9665675","dust,0.9638695","stellar,0.9635887","science,0.9618825","cosmos,0.95810616","Heaven,0.9576769","sun,0.9565136","outer,0.95623016","plasma,0.95597017",
19,"astronomy,0.9986446","galaxy,0.9941596","space,0.99237895","moon,0.99199355","astrology,0.9869355","constellation,0.985484","nebula,0.98429656","infinity,0.98115313","exploration,0.97485906","fantasy,0.97408676","planet,0.9705748","solar system,0.9665824","sun,0.9616114","dust,0.96072036","mystery,0.9582629","stellar,0.9542486","no person,0.9539517","Heaven,0.9493784","deep,0.9488611","science,0.94477224",
20,"sunset,0.99743676","dawn,0.9864763","dusk,0.98646927","sun,0.9863603","evening,0.98032165","no person,0.9741831","sky,0.96956474","water,0.9660555","landscape,0.95730126","sea,0.9508413","beach,0.9460053","ocean,0.94546235","nature,0.92649555","fair weather,0.8977477","moon,0.8909288","outdoors,0.86759907","travel,0.85324216","light,0.8509629","seashore,0.84939593","dramatic,0.836659",
21,"sunset,0.99728847","water,0.993865","no person,0.99337125","dawn,0.98938155","sun,0.98165536","dusk,0.97277534","sea,0.9625703","sky,0.9588616","nature,0.9561604","beach,0.9546852","evening,0.9520885","fair weather,0.9430213","outdoors,0.92932504","travel,0.913455","ocean,0.9129145","sand,0.9112848","landscape,0.90880466","seascape,0.90287477","summer,0.89542764","composure,0.8277439",
22,"sunset,0.9969095","water,0.99473405","dawn,0.98648787","sea,0.98329175","no person,0.9829915","sun,0.9746845","beach,0.97302276","dusk,0.9724022","sky,0.96568775","evening,0.9554024","landscape,0.9548975","ocean,0.95202434","seascape,0.9512274","nature,0.94156855","travel,0.92541736","fair weather,0.92231035","outdoors,0.8944608","seashore,0.8743216","sand,0.8737184","summer,0.8567786",
23,"sunset,0.9978943","water,0.9956926","dawn,0.9881705","sea,0.98623914","sun,0.9821042","beach,0.98149335","no person,0.9803281","dusk,0.97580194","sky,0.9712304","ocean,0.96332264","seascape,0.9589317","nature,0.95638406","evening,0.9537781","landscape,0.9438273","fair weather,0.92281944","travel,0.9156599","sand,0.9108782","summer,0.89819217","outdoors,0.8849795","seashore,0.8686083",
24,"sunset,0.99783826","water,0.99517465","dawn,0.98917377","sea,0.98582244","no person,0.9830419","sun,0.9830167","sky,0.9778103","beach,0.976169","dusk,0.975062","ocean,0.9631034","nature,0.96164453","evening,0.96104574","landscape,0.9579214","seascape,0.9482231","fair weather,0.9241218","outdoors,0.91225016","travel,0.90581894","summer,0.9024533","storm,0.8755493","sand,0.8579957",
25,"sunset,0.9971803","water,0.99432075","no person,0.9854322","dawn,0.98437464","sea,0.9807153","sun,0.97562134","beach,0.9739327","dusk,0.96998847","sky,0.96961874","landscape,0.9580854","ocean,0.9575206","seascape,0.9509975","evening,0.94439","fog,0.9349057","nature,0.9303114","travel,0.90331334","fair weather,0.88922346","sand,0.88227654","outdoors,0.8808415","lake,0.8602482",
26,"sunset,0.99406123","no person,0.9842528","landscape,0.9803486","dawn,0.97989345","water,0.9787326","sky,0.9778017","sun,0.96944666","fog,0.963414","sea,0.96006477","beach,0.9577354","nature,0.9456389","evening,0.94278145","dusk,0.93434596","ocean,0.9308336","outdoors,0.9217477","light,0.9200853","fair weather,0.8848784","seascape,0.88304424","travel,0.8755132","mist,0.8749404",
27,"no person,0.9965972","sunset,0.9962374","dawn,0.9861444","sun,0.983317","sky,0.98011994","nature,0.97730345","outdoors,0.967051","dusk,0.9436872","evening,0.9430734","fair weather,0.9343642","summer,0.9274217","landscape,0.92348284","water,0.91442883","fog,0.90427893","Heaven,0.8943631","light,0.8941952","weather,0.8569001","space,0.8173858","bright,0.8080304","travel,0.7973739",
28,"no person,0.99662244","sunset,0.99642324","sky,0.9864776","dawn,0.9851371","sun,0.9834207","nature,0.9736649","outdoors,0.96799594","dusk,0.9614201","evening,0.9539635","water,0.9434082","fair weather,0.93409693","summer,0.9317247","fog,0.9310925","landscape,0.92427963","travel,0.9060281","Heaven,0.8928616","light,0.882668","weather,0.84383416","bright,0.83441806","daylight,0.815202",
29,"sunset,0.99514824","no person,0.992574","sky,0.9800727","dawn,0.9790907","water,0.9778087","sun,0.9718079","landscape,0.95837396","nature,0.95786566","dusk,0.9558749","evening,0.9534117","outdoors,0.95222694","fog,0.9310318","sea,0.9288448","beach,0.91232574","travel,0.9086112","fair weather,0.90713024","light,0.89126664","summer,0.8889538","daylight,0.87319285","ocean,0.8528815",
30,"sunset,0.9924578","water,0.9892139","no person,0.9857392","dawn,0.97644615","sky,0.9686329","landscape,0.9621518","sun,0.9569953","sea,0.9555544","dusk,0.951965","beach,0.9458637","evening,0.9425231","fog,0.9372624","outdoors,0.9240884","ocean,0.91946673","nature,0.9157225","daylight,0.8968711","lake,0.88987267","travel,0.8852266","fair weather,0.878335","light,0.873672",
31,"sunset,0.9962216","water,0.99618006","no person,0.9923718","dawn,0.98394656","sky,0.977032","sun,0.9741869","beach,0.97045594","sea,0.9687675","dusk,0.96554375","landscape,0.95876735","evening,0.9578293","nature,0.9552417","outdoors,0.9466627","ocean,0.92874956","travel,0.9268532","lake,0.92236245","fair weather,0.91964257","seascape,0.91513205","sand,0.9136417","summer,0.9038129",
32,"sunset,0.99589413","no person,0.9868986","water,0.9856802","sky,0.9782591","dawn,0.9778497","sun,0.97532237","nature,0.9752939","dusk,0.9553015","landscape,0.9525521","sea,0.95167816","beach,0.94071925","outdoors,0.94004714","summer,0.9379225","evening,0.93601584","fair weather,0.9250239","ocean,0.8971232","travel,0.8737354","fog,0.8565049","sand,0.85091007","lake,0.84759843",
33,"sunset,0.9971435","no person,0.9914156","dawn,0.9855835","water,0.98541236","sky,0.98540866","landscape,0.97229266","sun,0.971462","evening,0.9705763","dusk,0.96923923","nature,0.9665128","sea,0.9613151","beach,0.95881474","outdoors,0.95743537","fog,0.94480246","travel,0.92703557","ocean,0.9156394","fair weather,0.90060854","summer,0.8911463","seascape,0.8910117","weather,0.8757526",
34,"sunset,0.99864984","water,0.99398494","no person,0.99324334","dawn,0.9925798","sun,0.98428285","dusk,0.9827294","sky,0.9784423","sea,0.9756807","nature,0.96921504","evening,0.96788895","beach,0.9614632","fair weather,0.9402077","outdoors,0.93630755","travel,0.9348645","ocean,0.93109924","summer,0.9261275","landscape,0.920135","seascape,0.90356684","sand,0.89966655","composure,0.87586445",
35,"sunset,0.9988892","no person,0.9965109","dawn,0.99432284","sun,0.99267006","water,0.98886806","sky,0.9810325","dusk,0.9787321","nature,0.9760814","evening,0.9637969","fair weather,0.95821595","sea,0.94969934","outdoors,0.94860697","summer,0.94696605","beach,0.9291442","travel,0.89913917","composure,0.8689813","landscape,0.8629009","sand,0.8605164","ocean,0.8577273","Heaven,0.8569974",
36,"sunset,0.99892724","dawn,0.9936604","no person,0.99363244","water,0.99213064","sun,0.9909774","dusk,0.98271626","sky,0.9810909","sea,0.9745895","evening,0.9707171","nature,0.9697231","beach,0.96471095","fair weather,0.95030934","outdoors,0.9464147","landscape,0.9355714","summer,0.9320512","ocean,0.92859524","travel,0.92819184","seascape,0.9135119","sand,0.8821291","fog,0.86763203",
37,"sunset,0.998155","dawn,0.9924643","no person,0.990842","water,0.9876548","sun,0.98461294","dusk,0.9763187","sky,0.97136855","sea,0.9708796","evening,0.96689874","nature,0.9620075","beach,0.9564475","fair weather,0.945647","landscape,0.94443333","outdoors,0.93356884","ocean,0.9320582","travel,0.9058119","summer,0.9046357","seascape,0.9016748","fog,0.86814773","light,0.85701483",
38,"sunset,0.9989469","dawn,0.9940474","water,0.98912036","no person,0.986652","sun,0.9866192","dusk,0.98452854","evening,0.97865295","sky,0.9779428","sea,0.9735948","beach,0.9630616","nature,0.95841485","landscape,0.9543787","ocean,0.94673824","fair weather,0.94567066","outdoors,0.9255801","seascape,0.9187364","summer,0.9012218","travel,0.89691293","weather,0.88653743","cloud,0.88200605",
39,"sunset,0.9986961","dawn,0.99486876","no person,0.99350524","sun,0.98937505","water,0.9851805","dusk,0.97964466","sky,0.971668","nature,0.9711762","evening,0.9641414","fair weather,0.953364","sea,0.9397961","summer,0.929554","outdoors,0.92746747","landscape,0.9243612","beach,0.91032565","travel,0.8987231","ocean,0.86868644","fog,0.856634","seascape,0.8422282","dramatic,0.83377767",
40,"sunset,0.99888074","dawn,0.99440587","no person,0.9920942","sun,0.99158275","water,0.9894475","dusk,0.9821513","nature,0.9730984","fair weather,0.96791995","evening,0.96776867","sky,0.96774924","sea,0.9617001","beach,0.9418548","landscape,0.9313813","summer,0.92784595","ocean,0.92499745","outdoors,0.91228604","seascape,0.8893582","travel,0.8776562","composure,0.8703992","gold,0.8695923",
41,"sunset,0.9986464","no person,0.9947313","dawn,0.9936332","water,0.9920539","dusk,0.98395455","sun,0.9811466","sky,0.96934617","evening,0.9683847","nature,0.9616473","sea,0.95619893","landscape,0.94391394","fair weather,0.9307225","travel,0.9224607","beach,0.9189475","outdoors,0.9122758","fog,0.9016498","ocean,0.8977268","summer,0.87888324","seascape,0.87309873","dramatic,0.8665863",
42,"no person,0.9978492","water,0.99241966","outdoors,0.97625256","travel,0.95389915","nature,0.94165957","dawn,0.9271027","sunset,0.9203037","landscape,0.91559803","evening,0.8865192","placid,0.8700974","sky,0.868835","daylight,0.8687601","reflection,0.8659798","dusk,0.86265266","fair weather,0.84668815","scenic,0.8253482","sea,0.8129887","sand,0.8120103","sun,0.8113549","summer,0.7830167",
43,"no person,0.99837035","underwater,0.9955789","water,0.99068964","swimming,0.9709948","travel,0.9544236","outdoors,0.9499291","ocean,0.94616723","sea,0.9441701","exploration,0.93670404","water sports,0.9297278","people,0.9233829","recreation,0.9209218","nature,0.91908246","fish,0.9142307","one,0.9142114","daylight,0.89849335","moon,0.8678715","diving,0.8552468","science,0.85059565","evening,0.8188634",
44,"no person,0.9990597","water,0.9825696","underwater,0.97144854","outdoors,0.96977025","travel,0.95999175","moon,0.93893033","nature,0.93263996","one,0.9221647","evening,0.90936","daylight,0.90300095","ocean,0.8992164","people,0.8973061","sea,0.89516175","exploration,0.8931742","recreation,0.890715","dawn,0.88192284","sky,0.8737391","dusk,0.8491014","backlit,0.8417431","science,0.836423",
45,"no person,0.9986609","outdoors,0.9846169","water,0.97920465","travel,0.9750002","exploration,0.96432006","nature,0.95766246","moon,0.9441961","one,0.9363604","underwater,0.9346946","daylight,0.9252645","sky,0.9107766","recreation,0.8997786","people,0.8952139","landscape,0.87846756","snow,0.87543505","rock,0.86477995","action,0.85861707","geology,0.84931326","sea,0.84386706","ice,0.8398339",
46,"no person,0.99070466","outdoors,0.98715353","exploration,0.97701406","travel,0.97622204","nature,0.9647746","landscape,0.9637351","sky,0.9629097","rock,0.9546188","water,0.9480574","recreation,0.9271877","people,0.9203545","mountain,0.91756445","adventure,0.91403085","geology,0.9135814","one,0.90988946","cave,0.9004121","daylight,0.8930838","scenic,0.8818698","climb,0.8707745","moon,0.83199584",
47,"outdoors,0.99056256","no person,0.98597336","travel,0.9809149","nature,0.969941","landscape,0.96608305","rock,0.96478033","exploration,0.96179867","sky,0.95537424","geology,0.9543108","water,0.9415706","recreation,0.93741417","one,0.9236952","people,0.9207871","adventure,0.91280484","cave,0.9120003","sandstone,0.8941369","daylight,0.88668317","mountain,0.88025355","scenic,0.8738647","climb,0.86553216",
48,"outdoors,0.9880077","no person,0.9868868","travel,0.980311","water,0.96569425","rock,0.9655485","landscape,0.96373105","nature,0.96098894","sky,0.95275724","recreation,0.9372819","geology,0.9239731","one,0.9217012","scenic,0.91220665","daylight,0.9077768","exploration,0.90483737","sandstone,0.9009938","people,0.88263714","seashore,0.87442636","adventure,0.871945","cave,0.86584246","mountain,0.86404145",
49,"no person,0.994483","outdoors,0.98963165","travel,0.97790194","water,0.9668293","nature,0.95643425","recreation,0.9536605","rock,0.9501774","sky,0.9452943","landscape,0.9429952","one,0.9325937","geology,0.92471397","daylight,0.9126848","exploration,0.9099951","sandstone,0.90797323","people,0.9068318","sand,0.8978746","scenic,0.88917744","cliff,0.8700291","adventure,0.8689692","fair weather,0.85586894",
50,"outdoors,0.9899479","no person,0.9872081","travel,0.9777272","water,0.97037506","nature,0.9696364","rock,0.9641692","recreation,0.9543482","landscape,0.9486444","sand,0.9475545","sky,0.9473865","sandstone,0.94518805","geology,0.9321382","one,0.930682","people,0.9146744","cliff,0.91388124","erosion,0.9128083","adventure,0.9064313","fair weather,0.9019772","scenic,0.893983","summer,0.89380676",
